bin,mean_z,p90_z,mean_z_smooth,tide_norm
-24.0,1.148589767269615,1.830480742042335,0.9708791780072683,0.4474970915869264
-23.5,0.7931685887449216,1.5351881523972628,0.7931685887449216,0.8114651851509171
-23.0,0.7926056369180157,1.5254520808603742,0.7926056369180157,1.1296825640894925
-22.5,0.7883744192942942,1.5420330003037146,0.7883744192942942,1.3838912722786176
-22.0,0.7861096214819765,1.5253645064095993,0.7883744192942942,1.559841589620333
-21.5,0.7894771804486068,1.5369814268208968,0.7861096214819765,1.6481889839443362
-21.0,0.7806034047407637,1.5236088865447721,0.7825657384793884,1.6450749857878928
-20.5,0.7825657384793884,1.5292333767763904,0.7806034047407637,1.552354114091784
-20.0,0.7745512356463787,1.500314173066749,0.7825657384793884,1.3774520081513266
-19.5,0.7836315245723737,1.5188994495641492,0.783099256419592,1.1328639483128815
-19.0,0.783099256419592,1.5202167091067982,0.7836315245723737,0.8353264046030323
-18.5,0.7952007989448591,1.5362215344706807,0.794504597735251,0.5047156033634246
-18.0,0.794504597735251,1.5281835202498293,0.7952007989448591,0.1627449473015761
-17.5,0.802746606746249,1.5634522089794498,0.794504597735251,-0.1684537080246964
-17.0,0.7854312914664197,1.514781302567678,0.7932311806590202,-0.4677722958652498
-16.5,0.7932311806590202,1.543156754281582,0.7932311806590202,-0.716498100919501
-16.0,0.7966127716914548,1.5526029715438332,0.7966127716914548,-0.8995250345787578
-15.5,0.7997961298638755,1.5539042546953596,0.7966127716914548,-1.006325470138921
-15.0,0.787106969090809,1.5142354332268444,0.7890806698140836,-1.0316191298900432
-14.5,0.7890806698140836,1.51335002587654,0.787106969090809,-0.9756953304067155
-14.0,0.7778665586299808,1.5009766377124314,0.7890806698140836,-0.8443675834083463
-13.5,0.8103606799898753,1.56745411154007,0.7853260375343637,-0.6485636340594445
-13.0,0.7853260375343637,1.529638202992663,0.7991657187221761,-0.403577920436812
-12.5,0.7991657187221761,1.570390667069615,0.7891505054487348,-0.1280355912749306
-12.0,0.7891505054487348,1.5329089284425361,0.7980333855274706,0.15736382889833378
-11.5,0.7980333855274706,1.552359859600607,0.7891505054487348,0.4312405321447948
-11.0,0.7812782320022976,1.5383038847392634,0.7813958008875604,0.6729745765356976
-10.5,0.7813958008875604,1.5390770981345234,0.7813958008875604,0.8640972889518204
-10.0,0.7911681978510319,1.5519195941881527,0.7911681978510319,0.9895422255604089
-9.5,0.7918665888310036,1.5318361413672072,0.7911681978510319,1.0386731154688797
-9.0,0.7843813432638962,1.5315625516456786,0.7870636407794288,1.0060207554400502
-8.5,0.7870636407794288,1.5316492189718978,0.7870636407794288,0.8916798393133157
-8.0,0.7918314076347144,1.546141678795924,0.7918314076347144,0.7013389531826802
-7.5,0.8107094997853834,1.5765157263590588,0.7932974745773331,0.44594099192752895
-7.0,0.7932974745773331,1.541752790799199,0.7959563345425315,0.14099548224589764
-6.5,0.7959563345425315,1.5424464684565513,0.7956828712523969,-0.19441285490389762
-6.0,0.7956828712523969,1.5532144871382247,0.7959563345425315,-0.5388550010900564
-5.5,0.804256412727678,1.567534113488118,0.7956828712523969,-0.8699479158970315
-5.0,0.7923519787122087,1.548499610049299,0.8023332869021286,-1.1658135572460746
-4.5,0.8023332869021286,1.5719360454122837,0.8020343929645827,-1.4065113800942803
-4.0,0.8020343929645827,1.5460981932595712,0.8020343929645827,-1.5753506428860242
-3.5,0.7991361276115863,1.5404240176726025,0.8020343929645827,-1.6599965753185146
-3.0,0.822827736908545,1.581811997275499,0.8075169574209575,-1.6532978121446997
-2.5,0.8075169574209575,1.5660195819518203,0.8075169574209575,-1.5537806057960533
-2.0,0.7934361244974814,1.5625032492211994,0.8075169574209575,-1.3657770136381675
-1.5,0.8083049558672585,1.5806499575712414,0.8083049558672585,-1.0991780971981735
-1.0,0.8225049696402496,1.6043218284430234,0.8181869940161818,-0.7688276124039355
-0.5,0.8181869940161818,1.6078548416318916,0.8225049696402496,-0.39359511361465666
0.0,1.124751869161213,1.8286550115889995,0.9714694315886974,0.004811693283032504
