time_center_iso,zscore,kind,idx_local,station_id
2026-05-02T06:28:49.825000,3.108538484029947,peak,572,LHI
2026-05-02T06:29:17.825000,2.200850077472756,peak,600,LHI
2026-05-02T06:29:22.825000,2.280263330088645,peak,605,LHI
2026-05-02T06:30:52.825000,2.041978463244845,peak,695,LHI
2026-05-02T06:32:12.825000,2.017201481607789,peak,775,LHI
2026-05-02T06:32:25.825000,2.0111878315071188,peak,788,LHI
2026-05-02T06:32:39.825000,2.368037612865573,peak,802,LHI
2026-05-02T06:33:06.825000,2.5514998671378564,peak,829,LHI
2026-05-02T06:33:14.825000,2.442054668693299,peak,837,LHI
2026-05-02T06:33:27.825000,2.246320636140606,peak,850,LHI
2026-05-02T06:34:02.825000,2.20222918351527,peak,885,LHI
2026-05-02T06:34:07.825000,2.499283912355108,peak,890,LHI
2026-05-02T06:35:37.825000,2.469045878173983,peak,980,LHI
2026-05-02T06:36:21.825000,2.2280206180706514,peak,1024,LHI
2026-05-02T06:37:44.825000,2.1488708345217065,peak,1107,LHI
2026-05-02T06:37:49.825000,2.637222064589684,peak,1112,LHI
2026-05-02T06:38:13.825000,2.3752756469268803,peak,1136,LHI
2026-05-02T06:38:32.825000,2.2166764920214224,peak,1155,LHI
2026-05-02T06:38:38.825000,2.0171644496664687,peak,1161,LHI
2026-05-02T06:38:45.825000,2.0133957318473925,peak,1168,LHI
2026-05-02T06:39:55.825000,2.4420878920637934,peak,1238,LHI
2026-05-02T06:40:53.825000,2.1104723045141727,peak,1296,LHI
2026-05-02T06:41:24.825000,2.478243146139829,peak,1327,LHI
2026-05-02T06:41:29.825000,2.6124157312501866,peak,1332,LHI
2026-05-02T06:41:37.825000,4.005454102890868,peak,1340,LHI
2026-05-02T06:42:16.825000,2.1357594271634945,peak,1379,LHI
2026-05-02T06:43:33.825000,2.089661812047624,peak,1456,LHI
2026-05-02T06:44:55.825000,2.1552794751366418,peak,1538,LHI
2026-05-02T06:45:27.825000,2.1665255527516822,peak,1570,LHI
2026-05-02T06:45:59.825000,3.863679093552728,peak,1602,LHI
2026-05-02T06:46:04.825000,2.371764898727738,peak,1607,LHI
2026-05-02T06:46:21.825000,2.29711682975721,peak,1624,LHI
2026-05-02T06:47:04.825000,2.352640402981542,peak,1667,LHI
2026-05-02T06:47:50.825000,2.787281111723223,peak,1713,LHI
2026-05-02T06:48:38.825000,2.882284307424648,peak,1761,LHI
2026-05-02T06:49:05.825000,2.0537656623641305,peak,1788,LHI
2026-05-02T06:49:59.825000,2.5318061772895626,peak,1842,LHI
2026-05-02T06:50:53.825000,2.8551440372991173,peak,1896,LHI
2026-05-02T06:51:26.825000,3.4121019314107337,peak,1929,LHI
2026-05-02T06:51:59.825000,2.390379707616301,peak,1962,LHI
2026-05-02T06:52:58.825000,2.3289641899598044,peak,2021,LHI
2026-05-02T06:53:10.825000,2.686325741065934,peak,2033,LHI
2026-05-02T06:53:15.825000,2.3905658577804965,peak,2038,LHI
2026-05-02T06:53:24.825000,3.0516902052500097,peak,2047,LHI
2026-05-02T06:53:36.825000,2.777091192543363,peak,2059,LHI
