bin_center,f_active,mean_absz,n_stations,t_rel_h
2026-05-02 06:25:00+00:00,0.0,1.5997438048962207,5.0,-23.995555555555555
2026-05-02 06:35:00+00:00,0.0,0.8242879944619833,5.0,-23.82888888888889
2026-05-02 06:45:00+00:00,0.0,0.8022949004079291,5.0,-23.662222222222223
2026-05-02 06:55:00+00:00,0.0,0.7996266730468685,5.0,-23.495555555555555
2026-05-02 07:05:00+00:00,0.0,0.8061796415214918,5.0,-23.32888888888889
2026-05-02 07:15:00+00:00,0.0,0.7723854297420097,5.0,-23.162222222222223
2026-05-02 07:25:00+00:00,0.0,0.8014071740942885,5.0,-22.995555555555555
2026-05-02 07:35:00+00:00,0.0,0.7937564035504817,5.0,-22.82888888888889
2026-05-02 07:45:00+00:00,0.0,0.7807904694207973,5.0,-22.662222222222223
2026-05-02 07:55:00+00:00,0.0,0.7692229988274184,5.0,-22.495555555555555
2026-05-02 08:05:00+00:00,0.0,0.763952365494977,5.0,-22.32888888888889
2026-05-02 08:15:00+00:00,0.0,0.7772321618946633,5.0,-22.162222222222223
2026-05-02 08:25:00+00:00,0.0,0.795592946416281,5.0,-21.995555555555555
2026-05-02 08:35:00+00:00,0.0,0.7379127264288237,5.0,-21.82888888888889
2026-05-02 08:45:00+00:00,0.0,0.7753212388698159,5.0,-21.662222222222223
2026-05-02 08:55:00+00:00,0.0,0.7660499139578965,5.0,-21.495555555555555
2026-05-02 09:05:00+00:00,0.0,0.7631735922185559,5.0,-21.32888888888889
2026-05-02 09:15:00+00:00,0.0,0.7653614906811009,5.0,-21.162222222222223
2026-05-02 09:25:00+00:00,0.0,0.7615141650765971,5.0,-20.995555555555555
2026-05-02 09:35:00+00:00,0.0,0.7675324561447328,5.0,-20.82888888888889
2026-05-02 09:45:00+00:00,0.0,0.8154360292539738,5.0,-20.662222222222223
2026-05-02 09:55:00+00:00,0.0,0.7636468506821472,5.0,-20.495555555555555
2026-05-02 10:05:00+00:00,0.0,0.7905662616847403,5.0,-20.32888888888889
