bin_center,f_active,mean_absz,n_stations,t_rel_h
2026-05-02 06:25:00+00:00,0.0,1.1393700103444968,5.0,-24.043333333333333
2026-05-02 06:35:00+00:00,0.0,0.8296929373100481,5.0,-23.876666666666665
2026-05-02 06:45:00+00:00,0.0,1.1726002798761044,5.0,-23.71
2026-05-02 06:55:00+00:00,0.0,1.1655901800805224,5.0,-23.543333333333333
2026-05-02 07:05:00+00:00,0.0,1.234337683182323,5.0,-23.376666666666665
2026-05-02 07:15:00+00:00,0.0,1.1365177496921992,5.0,-23.21
2026-05-02 07:25:00+00:00,0.0,1.1542760667800849,5.0,-23.043333333333333
2026-05-02 07:35:00+00:00,0.0,1.1513882492360927,5.0,-22.876666666666665
2026-05-02 07:45:00+00:00,0.0,1.0856061148846545,5.0,-22.71
2026-05-02 07:55:00+00:00,0.0,1.1036388827214132,5.0,-22.543333333333333
2026-05-02 08:05:00+00:00,0.0,1.065629681155375,5.0,-22.376666666666665
2026-05-02 08:15:00+00:00,0.0,0.9896437970160601,5.0,-22.21
2026-05-02 08:25:00+00:00,0.0,1.0682864088688306,5.0,-22.043333333333333
2026-05-02 08:35:00+00:00,0.0,1.03014305508535,5.0,-21.876666666666665
2026-05-02 08:45:00+00:00,0.0,0.975956548299483,5.0,-21.71
2026-05-02 08:55:00+00:00,0.0,0.9620571859386432,5.0,-21.543333333333333
2026-05-02 09:05:00+00:00,0.0,0.9584694366856912,5.0,-21.376666666666665
2026-05-02 09:15:00+00:00,0.0,0.9197839524391013,5.0,-21.21
2026-05-02 09:25:00+00:00,0.0,0.9797119760524732,5.0,-21.043333333333333
2026-05-02 09:35:00+00:00,0.4,2.3142960111155806,5.0,-20.876666666666665
2026-05-02 09:45:00+00:00,0.0,0.9166803918785458,5.0,-20.71
2026-05-02 09:55:00+00:00,0.0,0.8947394063541119,5.0,-20.543333333333333
2026-05-02 10:05:00+00:00,0.0,0.808005528760976,5.0,-20.376666666666665
2026-05-02 10:15:00+00:00,0.0,0.8485853839898075,5.0,-20.21
2026-05-02 10:25:00+00:00,0.0,0.7989015176801851,5.0,-20.043333333333333
2026-05-02 10:35:00+00:00,0.0,0.8176201329771032,5.0,-19.876666666666665
2026-05-02 10:45:00+00:00,0.0,0.8024133129114075,5.0,-19.71
2026-05-02 10:55:00+00:00,0.0,0.7209446510071216,5.0,-19.543333333333333
2026-05-02 11:05:00+00:00,0.0,0.7177413004957728,5.0,-19.376666666666665
2026-05-02 11:15:00+00:00,0.0,0.7241154857077305,5.0,-19.21
2026-05-02 11:25:00+00:00,0.0,0.7458147824383151,5.0,-19.043333333333333
2026-05-02 11:35:00+00:00,0.0,0.7447917154998278,5.0,-18.876666666666665
2026-05-02 11:45:00+00:00,0.0,0.6966289202548163,5.0,-18.71
2026-05-02 11:55:00+00:00,0.0,0.7083776244208178,5.0,-18.543333333333333
2026-05-02 12:05:00+00:00,0.0,0.7329761320099168,5.0,-18.376666666666665
2026-05-02 12:15:00+00:00,0.0,0.6956853338982633,5.0,-18.21
2026-05-02 12:25:00+00:00,0.0,0.6723448518909327,5.0,-18.043333333333333
2026-05-02 12:35:00+00:00,0.0,0.646564719036786,5.0,-17.876666666666665
2026-05-02 12:45:00+00:00,0.0,0.6472029895930087,5.0,-17.71
2026-05-02 12:55:00+00:00,0.0,0.6502045965053517,5.0,-17.543333333333333
2026-05-02 13:05:00+00:00,0.0,0.6489704056195672,5.0,-17.376666666666665
2026-05-02 13:15:00+00:00,0.0,0.6548222630480102,5.0,-17.21
2026-05-02 13:25:00+00:00,0.0,0.6223711699367103,5.0,-17.043333333333333
2026-05-02 13:35:00+00:00,0.0,0.6696561610567502,5.0,-16.876666666666665
2026-05-02 13:45:00+00:00,0.0,0.6468160911923654,5.0,-16.71
2026-05-02 13:55:00+00:00,0.0,0.6094444118018235,5.0,-16.543333333333333
2026-05-02 14:05:00+00:00,0.0,0.609426866680235,5.0,-16.376666666666665
2026-05-02 14:15:00+00:00,0.0,0.5888280390237199,5.0,-16.21
2026-05-02 14:25:00+00:00,0.0,0.5871858978831506,5.0,-16.043333333333333
2026-05-02 14:35:00+00:00,0.0,0.5758052064702831,5.0,-15.876666666666667
2026-05-02 14:45:00+00:00,0.0,0.6071847701576543,5.0,-15.71
2026-05-02 14:55:00+00:00,0.0,0.5957376962025434,5.0,-15.543333333333333
2026-05-02 15:05:00+00:00,0.0,0.5897983712252746,5.0,-15.376666666666667
2026-05-02 15:15:00+00:00,0.0,0.5504943785423647,5.0,-15.21
2026-05-02 15:25:00+00:00,0.0,0.5465721875146188,5.0,-15.043333333333333
2026-05-02 15:35:00+00:00,0.0,0.5882613358219191,5.0,-14.876666666666667
2026-05-02 15:45:00+00:00,0.0,0.6046390380494387,5.0,-14.71
2026-05-02 15:55:00+00:00,0.0,0.5541696346510866,5.0,-14.543333333333333
2026-05-02 16:05:00+00:00,0.0,0.5508804383644982,5.0,-14.376666666666667
2026-05-02 16:15:00+00:00,0.0,0.5603871577032244,5.0,-14.21
2026-05-02 16:25:00+00:00,0.0,0.5453439969817848,5.0,-14.043333333333333
2026-05-02 16:35:00+00:00,0.0,0.5611567131337591,5.0,-13.876666666666667
2026-05-02 16:45:00+00:00,0.0,0.5506725030113471,5.0,-13.71
2026-05-02 16:55:00+00:00,0.0,0.5597807240261528,5.0,-13.543333333333333
2026-05-02 17:05:00+00:00,0.0,0.5599131480632635,5.0,-13.376666666666667
2026-05-02 17:15:00+00:00,0.0,0.536572587920117,5.0,-13.21
2026-05-02 17:25:00+00:00,0.0,0.5421474191368847,5.0,-13.043333333333333
2026-05-02 17:35:00+00:00,0.0,0.523111004301196,5.0,-12.876666666666667
2026-05-02 17:45:00+00:00,0.0,0.543139975908646,5.0,-12.71
2026-05-02 17:55:00+00:00,0.0,0.5545262457689938,5.0,-12.543333333333333
2026-05-02 18:05:00+00:00,0.0,0.5446604837818079,5.0,-12.376666666666667
2026-05-02 18:15:00+00:00,0.0,0.5396438244272166,5.0,-12.21
2026-05-02 18:25:00+00:00,0.0,0.5698890893480354,5.0,-12.043333333333333
2026-05-02 18:35:00+00:00,0.0,0.5643697155571751,5.0,-11.876666666666667
2026-05-02 18:45:00+00:00,0.0,0.5462103151366982,5.0,-11.71
2026-05-02 18:55:00+00:00,0.0,0.5741104717995874,5.0,-11.543333333333333
2026-05-02 19:05:00+00:00,0.0,0.5474383384727467,5.0,-11.376666666666667
2026-05-02 19:15:00+00:00,0.0,0.5589768654248124,5.0,-11.21
2026-05-02 19:25:00+00:00,0.0,0.5362319553556526,5.0,-11.043333333333333
2026-05-02 19:35:00+00:00,0.0,0.5518870512322629,5.0,-10.876666666666667
2026-05-02 19:45:00+00:00,0.0,0.5489332925080206,5.0,-10.71
