bin_center,f_active,mean_absz,n_stations,t_rel_h
2026-05-02 06:35:00+00:00,0.0,1.8257475274188537,5.0,-24.076666666666668
2026-05-02 06:45:00+00:00,0.0,1.302870432095909,5.0,-23.91
2026-05-02 06:55:00+00:00,0.0,0.7288025199078308,5.0,-23.743333333333332
2026-05-02 07:05:00+00:00,0.0,0.7289259199585103,5.0,-23.576666666666668
2026-05-02 07:15:00+00:00,0.0,0.7422087286690692,5.0,-23.41
2026-05-02 07:25:00+00:00,0.0,0.7265079089429297,5.0,-23.243333333333332
2026-05-02 07:35:00+00:00,0.0,0.7321531394743533,5.0,-23.076666666666668
2026-05-02 07:45:00+00:00,0.0,0.7146341170455062,5.0,-22.91
2026-05-02 07:55:00+00:00,0.0,0.7488277098211942,5.0,-22.743333333333332
2026-05-02 08:05:00+00:00,0.0,0.739893096858289,5.0,-22.576666666666668
2026-05-02 08:15:00+00:00,0.0,0.7443794303263237,5.0,-22.41
2026-05-02 08:25:00+00:00,0.0,0.7609200996575114,5.0,-22.243333333333332
2026-05-02 08:35:00+00:00,0.0,0.7531340850935297,5.0,-22.076666666666668
2026-05-02 08:45:00+00:00,0.0,0.7257739419268907,5.0,-21.91
2026-05-02 08:55:00+00:00,0.0,0.7404968510520897,5.0,-21.743333333333332
2026-05-02 09:05:00+00:00,0.0,0.7402798536767207,5.0,-21.576666666666668
2026-05-02 09:15:00+00:00,0.0,0.7111224470869683,5.0,-21.41
2026-05-02 09:25:00+00:00,0.0,0.7192916175098645,5.0,-21.243333333333332
2026-05-02 09:35:00+00:00,0.0,0.7354275738028201,5.0,-21.076666666666668
2026-05-02 09:45:00+00:00,0.0,0.7508897116309422,5.0,-20.91
2026-05-02 09:55:00+00:00,0.0,0.7545075437803395,5.0,-20.743333333333332
2026-05-02 10:05:00+00:00,0.0,0.7391509288195452,5.0,-20.576666666666668
2026-05-02 10:15:00+00:00,0.0,0.7469298153191741,5.0,-20.41
2026-05-02 10:25:00+00:00,0.0,0.7579338530681672,5.0,-20.243333333333332
2026-05-02 10:35:00+00:00,0.0,0.7625930583752828,5.0,-20.076666666666668
2026-05-02 10:45:00+00:00,0.0,0.7458732142863861,5.0,-19.91
2026-05-02 10:55:00+00:00,0.0,0.7309731000804254,5.0,-19.743333333333332
2026-05-02 11:05:00+00:00,0.0,0.7629916129886505,5.0,-19.576666666666668
2026-05-02 11:15:00+00:00,0.0,0.773409869273656,5.0,-19.41
2026-05-02 11:25:00+00:00,0.0,0.7381334950237394,5.0,-19.243333333333332
2026-05-02 11:35:00+00:00,0.0,0.729400746318018,5.0,-19.076666666666668
2026-05-02 11:45:00+00:00,0.0,0.7492099117219637,5.0,-18.91
2026-05-02 11:55:00+00:00,0.0,0.7483717199046549,5.0,-18.743333333333332
2026-05-02 12:05:00+00:00,0.0,0.7736601807955082,5.0,-18.576666666666668
2026-05-02 12:15:00+00:00,0.0,0.7426438787353036,5.0,-18.41
2026-05-02 12:25:00+00:00,0.0,0.7638242840255987,5.0,-18.243333333333332
2026-05-02 12:35:00+00:00,0.0,0.7718870351406336,5.0,-18.076666666666668
2026-05-02 12:45:00+00:00,0.0,0.75459513943148,5.0,-17.91
2026-05-02 12:55:00+00:00,0.0,0.7669424823953561,5.0,-17.743333333333332
2026-05-02 13:05:00+00:00,0.0,0.7508288545263713,5.0,-17.576666666666668
2026-05-02 13:15:00+00:00,0.0,0.7663612056198816,5.0,-17.41
2026-05-02 13:25:00+00:00,0.0,0.7646162910466456,5.0,-17.243333333333332
2026-05-02 13:35:00+00:00,0.0,0.8142559978356336,5.0,-17.076666666666668
2026-05-02 13:45:00+00:00,0.0,0.758250625265312,5.0,-16.91
2026-05-02 13:55:00+00:00,0.0,0.7462982073061353,5.0,-16.743333333333332
2026-05-02 14:05:00+00:00,0.0,0.7817969971407013,5.0,-16.576666666666668
2026-05-02 14:15:00+00:00,0.0,0.7657902332263486,5.0,-16.41
2026-05-02 14:25:00+00:00,0.0,0.762150787202395,5.0,-16.243333333333332
2026-05-02 14:35:00+00:00,0.0,0.7678784487858012,5.0,-16.076666666666668
2026-05-02 14:45:00+00:00,0.0,0.7744227480135731,5.0,-15.91
2026-05-02 14:55:00+00:00,0.0,0.7907941201777458,5.0,-15.743333333333334
2026-05-02 15:05:00+00:00,0.0,0.7766205057585175,5.0,-15.576666666666666
2026-05-02 15:15:00+00:00,0.0,0.7487171804679174,5.0,-15.41
