bin_center,f_active,mean_absz,n_stations,t_rel_h
2026-05-02 06:15:00+00:00,0.0,1.5485619011101517,5.0,-24.02138888888889
2026-05-02 06:25:00+00:00,0.0,0.8876713560494602,5.0,-23.85472222222222
2026-05-02 06:35:00+00:00,0.0,0.6708125459947134,5.0,-23.688055555555554
2026-05-02 06:45:00+00:00,0.0,0.6931995288695985,5.0,-23.52138888888889
2026-05-02 06:55:00+00:00,0.0,0.6720114193342868,5.0,-23.35472222222222
2026-05-02 07:05:00+00:00,0.0,0.6725071141463127,5.0,-23.188055555555554
2026-05-02 07:15:00+00:00,0.0,0.6846013225306199,5.0,-23.02138888888889
2026-05-02 07:25:00+00:00,0.0,0.6691230277119394,5.0,-22.85472222222222
2026-05-02 07:35:00+00:00,0.0,0.6809175828017707,5.0,-22.688055555555554
2026-05-02 07:45:00+00:00,0.0,0.6865010268844209,5.0,-22.52138888888889
2026-05-02 07:55:00+00:00,0.0,0.6941297912455171,5.0,-22.35472222222222
2026-05-02 08:05:00+00:00,0.0,0.6929305630173058,5.0,-22.188055555555554
2026-05-02 08:15:00+00:00,0.0,0.680369275221028,5.0,-22.02138888888889
2026-05-02 08:25:00+00:00,0.0,0.6666404113289922,5.0,-21.85472222222222
2026-05-02 08:35:00+00:00,0.0,0.6842925906702997,5.0,-21.688055555555554
2026-05-02 08:45:00+00:00,0.0,0.6738102149574031,5.0,-21.52138888888889
2026-05-02 08:55:00+00:00,0.0,0.6987932753572583,5.0,-21.35472222222222
2026-05-02 09:05:00+00:00,0.0,0.801436850878573,5.0,-21.188055555555554
2026-05-02 09:15:00+00:00,0.0,0.6945196656062278,5.0,-21.02138888888889
2026-05-02 09:25:00+00:00,0.0,0.6985729968394283,5.0,-20.85472222222222
2026-05-02 09:35:00+00:00,0.0,0.6991922694992969,5.0,-20.688055555555554
2026-05-02 09:45:00+00:00,0.0,0.701417067542015,5.0,-20.52138888888889
2026-05-02 09:55:00+00:00,0.0,0.6772549448133063,5.0,-20.35472222222222
2026-05-02 10:05:00+00:00,0.0,0.6626303190039516,5.0,-20.188055555555554
2026-05-02 10:15:00+00:00,0.0,0.661998715715396,5.0,-20.02138888888889
2026-05-02 10:25:00+00:00,0.0,0.6817668601223676,5.0,-19.85472222222222
2026-05-02 10:35:00+00:00,0.0,0.6533238806228331,5.0,-19.688055555555554
2026-05-02 10:45:00+00:00,0.0,0.678842923897206,5.0,-19.52138888888889
2026-05-02 10:55:00+00:00,0.0,0.6798031040645192,5.0,-19.35472222222222
2026-05-02 11:05:00+00:00,0.0,0.8606522186803975,5.0,-19.188055555555554
2026-05-02 11:15:00+00:00,0.0,0.6445601448143534,5.0,-19.02138888888889
2026-05-02 11:25:00+00:00,0.0,0.6590525940343844,5.0,-18.85472222222222
2026-05-02 11:35:00+00:00,0.0,0.6453167782566757,5.0,-18.688055555555554
2026-05-02 11:45:00+00:00,0.0,0.6552349459710944,5.0,-18.52138888888889
2026-05-02 11:55:00+00:00,0.0,0.6770744699504441,5.0,-18.35472222222222
2026-05-02 12:05:00+00:00,0.0,0.7006438734658806,5.0,-18.188055555555554
2026-05-02 12:15:00+00:00,0.0,0.6832240504339422,5.0,-18.02138888888889
2026-05-02 12:25:00+00:00,0.0,0.6989759987741093,5.0,-17.85472222222222
2026-05-02 12:35:00+00:00,0.0,0.6769388614350553,5.0,-17.688055555555554
2026-05-02 12:45:00+00:00,0.0,0.6739887646370136,5.0,-17.52138888888889
2026-05-02 12:55:00+00:00,0.0,0.6841781322423589,5.0,-17.35472222222222
2026-05-02 13:05:00+00:00,0.0,0.6608999097936317,5.0,-17.188055555555554
2026-05-02 13:15:00+00:00,0.0,0.6495853626980349,5.0,-17.02138888888889
2026-05-02 13:25:00+00:00,0.0,0.6621596002571033,5.0,-16.85472222222222
2026-05-02 13:35:00+00:00,0.0,0.6758853852744152,5.0,-16.688055555555554
