bin,mean_z,p90_z,mean_z_smooth,tide_norm
-24.0,1.097008209200478,1.7877948031405253,0.9494208573027307,0.4474970915869264
-23.5,0.8018335054049834,1.5393081804099111,0.8018335054049834,0.8114651851509171
-23.0,0.7913438159013436,1.5319621651809963,0.7913438159013436,1.1296825640894925
-22.5,0.7707770174256819,1.4942483387660004,0.7707770174256819,1.3838912722786176
-22.0,0.7698390820780773,1.499765634403912,0.7698390820780773,1.559841589620333
-21.5,0.7671885510495302,1.5079191313578517,0.7671885510495302,1.6481889839443362
-21.0,0.7647212208275559,1.5030229656661291,0.7671885510495302,1.6450749857878928
-20.5,0.7909165174638584,1.5152247294290984,0.7877906622719381,1.552354114091784
-20.0,0.7877906622719381,1.5300107130890455,0.7877906622719381,1.3774520081513266
-19.5,0.7715152764501849,1.500535137323372,0.7877906622719381,1.1328639483128815
-19.0,0.7983535928511336,1.5665161178461888,0.7715152764501849,0.8353264046030323
-18.5,0.7659242845292235,1.4841220996681352,0.7659242845292235,0.5047156033634246
-18.0,0.7627016129808375,1.4867215679193353,0.7659242845292235,0.1627449473015761
-17.5,0.779863510564863,1.5183070364859779,0.7627016129808375,-0.1684537080246964
-17.0,0.7516369093496044,1.451245622797555,0.7606593167533091,-0.4677722958652498
-16.5,0.7606593167533091,1.4657681388896004,0.7581950451001828,-0.716498100919501
-16.0,0.7581950451001828,1.4676496991122665,0.7581950451001828,-0.8995250345787578
-15.5,0.746979644689393,1.4493526846795495,0.7581950451001828,-1.006325470138921
-15.0,0.7590603971966068,1.4565064624655444,0.7527221770141695,-1.0316191298900432
-14.5,0.7527221770141695,1.457027573570935,0.7590603971966068,-0.9756953304067155
-14.0,0.7623397348890822,1.471079286110511,0.7623397348890822,-0.8443675834083463
-13.5,0.7755373397931301,1.4769036624974374,0.7623397348890822,-0.6485636340594445
-13.0,0.7301934160011447,1.409012562148716,0.7371939939675379,-0.403577920436812
-12.5,0.7371939939675379,1.4221312346226076,0.7371939939675379,-0.1280355912749306
-12.0,0.7419029334074119,1.4501887357693628,0.7387768511693218,0.15736382889833378
-11.5,0.7387768511693218,1.4345487204544853,0.7387768511693218,0.4312405321447948
-11.0,0.7369032106378625,1.4122682078770783,0.7387768511693218,0.6729745765356976
-10.5,0.7621066574462607,1.4585921684867857,0.7621066574462607,0.8640972889518204
-10.0,0.8022262332938948,1.5774640153851849,0.8022262332938948,0.9895422255604089
-9.5,0.8621785786990104,1.6939699623571711,0.8621785786990104,1.0386731154688797
-9.0,0.9434687199071151,1.9722878159499908,0.9434687199071151,1.0060207554400502
-8.5,0.9682736224029337,1.9765791324115467,0.9574921686376221,0.8916798393133157
-8.0,0.9574921686376221,2.02404143241652,0.9574921686376221,0.7013389531826802
-7.5,0.8922013525290949,1.7828380396224366,0.8922013525290949,0.44594099192752895
-7.0,0.8617741801701548,1.722558742899327,0.8617741801701548,0.14099548224589764
-6.5,0.8319071434290609,1.6462850533179088,0.8319071434290609,-0.19441285490389762
-6.0,0.8067072581701453,1.5700046795566225,0.8067072581701453,-0.5388550010900564
-5.5,0.7684662440542624,1.505107161772289,0.7684662440542624,-0.8699479158970315
-5.0,0.765253564813772,1.4871185525867325,0.7684662440542624,-1.1658135572460746
-4.5,0.7810113033492875,1.5149574588271197,0.765253564813772,-1.4065113800942803
-4.0,0.752956672286007,1.4788826518017157,0.752956672286007,-1.5753506428860242
-3.5,0.749870969561157,1.4396998436109165,0.752956672286007,-1.6599965753185146
-3.0,0.7566900568569158,1.4502548232274899,0.7516536440574819,-1.6532978121446997
-2.5,0.7516536440574819,1.444103729105983,0.7566900568569158,-1.5537806057960533
-2.0,0.799800220212195,1.5000007307122338,0.7619025497285168,-1.3657770136381675
-1.5,0.7619025497285168,1.4477715250542535,0.7619025497285168,-1.0991780971981735
-1.0,0.754223403651153,1.4499457602647532,0.7619025497285168,-0.7688276124039355
-0.5,0.7623597602343768,1.4591611230182366,0.7623597602343768,-0.39359511361465666
0.0,1.0997984645744119,1.7939677785661103,0.9310791124043943,0.004811693283032504
