time_center_iso,zscore,kind,idx_local,station_id
2026-05-02T06:49:10.700000,2.431750915597964,peak,642,BOAB
2026-05-02T06:51:15.700000,2.041042053277534,peak,767,BOAB
2026-05-02T06:53:12.700000,2.251470247421281,peak,884,BOAB
2026-05-02T06:54:13.700000,2.099226358330755,peak,945,BOAB
2026-05-02T06:56:20.700000,2.39352619031575,peak,1072,BOAB
2026-05-02T06:56:49.700000,2.742390210776368,peak,1101,BOAB
2026-05-02T06:57:58.700000,2.172334725973017,peak,1170,BOAB
2026-05-02T06:58:43.700000,2.122513942060116,peak,1215,BOAB
2026-05-02T07:01:23.700000,2.222599068414615,peak,1375,BOAB
2026-05-02T07:05:38.700000,3.486006985063593,peak,1630,BOAB
2026-05-02T07:06:21.700000,2.256111439570182,peak,1673,BOAB
2026-05-02T07:08:07.700000,2.385617958956203,peak,1779,BOAB
2026-05-02T07:12:02.700000,2.285502405350106,peak,2014,BOAB
2026-05-02T07:15:30.700000,2.1202545900287544,peak,2222,BOAB
2026-05-02T07:15:36.700000,2.189781724934313,peak,2228,BOAB
2026-05-02T07:19:30.700000,2.227907514253041,peak,2462,BOAB
2026-05-02T07:23:00.700000,2.5065455284857374,peak,2672,BOAB
2026-05-02T07:25:46.700000,2.188789319584105,peak,2838,BOAB
2026-05-02T07:26:22.700000,2.8974101387677997,peak,2874,BOAB
2026-05-02T07:28:39.700000,2.069355377266117,peak,3011,BOAB
2026-05-02T07:29:39.700000,2.2559389492618966,peak,3071,BOAB
2026-05-02T07:29:48.700000,2.433416657006721,peak,3080,BOAB
2026-05-02T07:30:59.700000,2.3176919843446555,peak,3151,BOAB
2026-05-02T07:32:26.700000,2.1670893737946786,peak,3238,BOAB
2026-05-02T07:34:11.700000,2.397735956223056,peak,3343,BOAB
2026-05-02T07:35:19.700000,2.283292955050148,peak,3411,BOAB
2026-05-02T07:36:04.700000,2.07527945368208,peak,3456,BOAB
2026-05-02T07:37:52.700000,2.2977176648471245,peak,3564,BOAB
2026-05-02T07:39:15.700000,2.89235002368628,peak,3647,BOAB
2026-05-02T07:42:06.700000,2.419640292486777,peak,3818,BOAB
2026-05-02T07:43:19.700000,2.0902710241258164,peak,3891,BOAB
2026-05-02T07:48:32.700000,2.38285197709701,peak,4204,BOAB
2026-05-02T07:53:03.700000,2.2482605012234904,peak,4475,BOAB
2026-05-02T07:54:39.700000,2.155730752597725,peak,4571,BOAB
2026-05-02T07:55:52.700000,2.5386362958272453,peak,4644,BOAB
2026-05-02T07:56:33.700000,2.5849270497566645,peak,4685,BOAB
2026-05-02T07:59:18.700000,2.0047310140166426,peak,4850,BOAB
2026-05-02T08:00:37.700000,2.655211518838244,peak,4929,BOAB
2026-05-02T08:03:14.700000,2.0101813534914825,peak,5086,BOAB
2026-05-02T08:03:36.700000,2.617846433504167,peak,5108,BOAB
2026-05-02T08:06:47.700000,2.211117696404423,peak,5299,BOAB
2026-05-02T08:07:36.700000,2.2586904799174587,peak,5348,BOAB
2026-05-02T08:08:11.700000,2.005756807095063,peak,5383,BOAB
2026-05-02T08:09:03.700000,2.205939076195732,peak,5435,BOAB
2026-05-02T08:09:21.700000,2.542652643062276,peak,5453,BOAB
2026-05-02T08:13:31.700000,2.05970027321176,peak,5703,BOAB
2026-05-02T08:23:43.700000,2.1460128594611763,peak,6315,BOAB
2026-05-02T08:25:47.700000,2.329330810016706,peak,6439,BOAB
2026-05-02T08:27:45.700000,2.0429628089732343,peak,6557,BOAB
2026-05-02T08:34:32.700000,2.1421291655186043,peak,6964,BOAB
2026-05-02T08:34:44.700000,2.077635198800993,peak,6976,BOAB
2026-05-02T08:34:51.700000,2.03557571117394,peak,6983,BOAB
2026-05-02T08:35:17.700000,3.209762009894096,peak,7009,BOAB
2026-05-02T08:35:24.700000,2.284088607028179,peak,7016,BOAB
2026-05-02T08:40:41.700000,2.1293492790905684,peak,7333,BOAB
2026-05-02T08:41:00.700000,2.052275977651312,peak,7352,BOAB
2026-05-02T08:42:00.700000,2.0629784486235527,peak,7412,BOAB
2026-05-02T08:42:24.700000,2.4214389424550578,peak,7436,BOAB
2026-05-02T08:42:37.700000,2.0915951869177487,peak,7449,BOAB
2026-05-02T08:43:10.700000,2.7236432608371715,peak,7482,BOAB
2026-05-02T08:44:12.700000,2.4393482765005383,peak,7544,BOAB
2026-05-02T08:47:05.700000,2.1224989767713307,peak,7717,BOAB
2026-05-02T08:47:25.700000,2.133689756273069,peak,7737,BOAB
2026-05-02T08:48:39.700000,2.054186592065883,peak,7811,BOAB
2026-05-02T08:49:20.700000,2.47533380554578,peak,7852,BOAB
2026-05-02T08:49:48.700000,2.0976225851797565,peak,7880,BOAB
2026-05-02T08:50:00.700000,2.148894033153649,peak,7892,BOAB
2026-05-02T08:52:39.700000,2.6222419428618564,peak,8051,BOAB
2026-05-02T08:53:57.700000,2.560648333203004,peak,8129,BOAB
2026-05-02T08:57:58.700000,2.437662346639164,peak,8370,BOAB
2026-05-02T09:00:25.700000,2.408118376869472,peak,8517,BOAB
2026-05-02T09:00:49.700000,2.054560472931014,peak,8541,BOAB
2026-05-02T09:01:04.700000,2.114445329518907,peak,8556,BOAB
2026-05-02T09:01:12.700000,2.7708913123769245,peak,8564,BOAB
2026-05-02T09:03:27.700000,2.0614666129385637,peak,8699,BOAB
2026-05-02T09:03:48.700000,2.1479951229315817,peak,8720,BOAB
2026-05-02T09:06:34.700000,2.9776211984564567,peak,8886,BOAB
2026-05-02T09:06:56.700000,2.1071198804726707,peak,8908,BOAB
2026-05-02T09:09:11.700000,2.067646188487617,peak,9043,BOAB
2026-05-02T09:09:53.700000,2.018347707618755,peak,9085,BOAB
2026-05-02T09:17:29.700000,2.2517575113114483,peak,9541,BOAB
2026-05-02T09:21:58.700000,2.2798644243222053,peak,9810,BOAB
2026-05-02T09:22:27.700000,2.007180104619335,peak,9839,BOAB
2026-05-02T09:22:36.700000,2.1295223624529704,peak,9848,BOAB
2026-05-02T09:23:22.700000,2.408027174438816,peak,9894,BOAB
2026-05-02T09:23:36.700000,3.289199095281675,peak,9908,BOAB
2026-05-02T09:25:18.700000,2.1962979991964104,peak,10010,BOAB
2026-05-02T09:25:52.700000,2.0411338617672063,peak,10044,BOAB
2026-05-02T09:29:06.700000,2.276526048591481,peak,10238,BOAB
2026-05-02T09:31:06.700000,3.0951561065116,peak,10358,BOAB
2026-05-02T09:31:42.700000,2.325646083025381,peak,10394,BOAB
2026-05-02T09:31:55.700000,2.2261343059603456,peak,10407,BOAB
2026-05-02T09:33:30.700000,2.2586497141062734,peak,10502,BOAB
2026-05-02T09:35:39.700000,3.507572362397428,peak,10631,BOAB
2026-05-02T09:36:37.700000,2.35640425929664,peak,10689,BOAB
2026-05-02T09:37:38.700000,2.1934334459233717,peak,10750,BOAB
2026-05-02T09:37:54.700000,2.0857987451445745,peak,10766,BOAB
2026-05-02T09:40:18.700000,2.1410798630312757,peak,10910,BOAB
2026-05-02T09:40:34.700000,2.5258847838975838,peak,10926,BOAB
2026-05-02T09:40:39.700000,2.080162635292884,peak,10931,BOAB
2026-05-02T09:40:58.700000,2.151606684489794,peak,10950,BOAB
2026-05-02T09:41:09.700000,2.131594341266608,peak,10961,BOAB
2026-05-02T09:46:57.700000,3.089312951294646,peak,11309,BOAB
2026-05-02T09:48:55.700000,2.416918448539916,peak,11427,BOAB
2026-05-02T09:51:10.700000,2.288935009928028,peak,11562,BOAB
2026-05-02T09:51:58.700000,2.151719397732089,peak,11610,BOAB
2026-05-02T09:52:08.700000,2.761320758944904,peak,11620,BOAB
2026-05-02T09:52:24.700000,2.024992354385092,peak,11636,BOAB
2026-05-02T09:55:47.700000,2.939521841803137,peak,11839,BOAB
2026-05-02T09:57:44.700000,2.379567824233759,peak,11956,BOAB
2026-05-02T10:00:36.700000,2.394769238095989,peak,12128,BOAB
2026-05-02T10:02:55.700000,2.375111125244561,peak,12267,BOAB
2026-05-02T10:06:11.700000,3.1617233891879533,peak,12463,BOAB
2026-05-02T10:06:18.700000,2.031883915193184,peak,12470,BOAB
2026-05-02T10:07:03.700000,2.7316626322819006,peak,12515,BOAB
2026-05-02T10:07:19.700000,2.104766159819479,peak,12531,BOAB
2026-05-02T10:09:20.700000,2.660949374959119,peak,12652,BOAB
2026-05-02T10:10:22.700000,2.166830317844322,peak,12714,BOAB
2026-05-02T10:12:01.700000,2.4613109768393757,peak,12813,BOAB
2026-05-02T10:12:42.700000,2.0731134995844,peak,12854,BOAB
2026-05-02T10:13:38.700000,2.038798930818005,peak,12910,BOAB
2026-05-02T10:16:00.700000,2.6956840578204564,peak,13052,BOAB
2026-05-02T10:17:03.700000,2.548593344904433,peak,13115,BOAB
2026-05-02T10:18:22.700000,2.17642719408308,peak,13194,BOAB
2026-05-02T10:19:02.700000,2.2841429106777107,peak,13234,BOAB
2026-05-02T10:20:33.700000,2.50081803442682,peak,13325,BOAB
2026-05-02T10:21:28.700000,2.1097416100359734,peak,13380,BOAB
2026-05-02T10:21:48.700000,2.052452043015756,peak,13400,BOAB
2026-05-02T10:23:06.700000,2.202259861420623,peak,13478,BOAB
2026-05-02T10:25:43.700000,2.1502430578190594,peak,13635,BOAB
2026-05-02T10:26:15.700000,2.5085933985494333,peak,13667,BOAB
2026-05-02T10:26:39.700000,2.143438849331419,peak,13691,BOAB
2026-05-02T10:27:51.700000,2.2408581931377403,peak,13763,BOAB
2026-05-02T10:28:41.700000,2.6703653594903014,peak,13813,BOAB
2026-05-02T10:29:48.700000,2.444557234128875,peak,13880,BOAB
2026-05-02T10:30:42.700000,2.017524527521611,peak,13934,BOAB
2026-05-02T10:32:26.700000,2.473174861680685,peak,14038,BOAB
2026-05-02T10:34:32.700000,2.9219508612664344,peak,14164,BOAB
2026-05-02T10:34:56.700000,2.3428503700214764,peak,14188,BOAB
2026-05-02T10:36:18.700000,2.1454753420228845,peak,14270,BOAB
2026-05-02T10:36:45.700000,2.1007981145847348,peak,14297,BOAB
2026-05-02T10:37:04.700000,2.0278165466915445,peak,14316,BOAB
2026-05-02T10:37:12.700000,2.287735758955242,peak,14324,BOAB
2026-05-02T10:37:18.700000,2.4100661827124106,peak,14330,BOAB
2026-05-02T10:38:36.700000,2.0793388619311743,peak,14408,BOAB
2026-05-02T10:39:42.700000,2.0533832808715005,peak,14474,BOAB
2026-05-02T10:41:59.700000,2.0973207441025123,peak,14611,BOAB
2026-05-02T10:42:22.700000,2.5794574612351786,peak,14634,BOAB
2026-05-02T10:42:35.700000,2.3386424940646515,peak,14647,BOAB
2026-05-02T10:44:35.700000,2.6551240101409896,peak,14767,BOAB
2026-05-02T10:46:29.700000,2.0763447075958434,peak,14881,BOAB
2026-05-02T10:47:46.700000,2.223585061966792,peak,14958,BOAB
2026-05-02T10:49:10.700000,2.4089182802590154,peak,15042,BOAB
2026-05-02T10:49:22.700000,3.3242226711107223,peak,15054,BOAB
2026-05-02T10:50:13.700000,2.081783374462097,peak,15105,BOAB
2026-05-02T10:50:58.700000,3.995476946692573,peak,15150,BOAB
2026-05-02T10:53:20.700000,2.337301667719832,peak,15292,BOAB
2026-05-02T10:55:46.700000,2.1372788479570106,peak,15438,BOAB
2026-05-02T10:55:51.700000,2.040643666405743,peak,15443,BOAB
2026-05-02T10:56:49.700000,2.4614249626764373,peak,15501,BOAB
2026-05-02T10:57:00.700000,2.758165103468993,peak,15512,BOAB
2026-05-02T10:58:04.700000,2.109739684349905,peak,15576,BOAB
2026-05-02T11:02:17.700000,2.095078844897156,peak,15829,BOAB
2026-05-02T11:03:23.700000,2.163601387931388,peak,15895,BOAB
2026-05-02T11:03:40.700000,2.4333123826575385,peak,15912,BOAB
2026-05-02T11:06:02.700000,2.247303384570118,peak,16054,BOAB
2026-05-02T11:08:01.700000,2.306526719999738,peak,16173,BOAB
2026-05-02T11:08:06.700000,2.322369073931778,peak,16178,BOAB
2026-05-02T11:09:41.700000,3.4286438799452776,peak,16273,BOAB
2026-05-02T11:09:58.700000,2.42695497865148,peak,16290,BOAB
2026-05-02T11:11:02.700000,2.112218842090213,peak,16354,BOAB
2026-05-02T11:12:28.700000,2.447238708756094,peak,16440,BOAB
2026-05-02T11:15:01.700000,2.507346598343769,peak,16593,BOAB
2026-05-02T11:15:06.700000,2.675822648738874,peak,16598,BOAB
2026-05-02T11:16:02.700000,2.1783184713960795,peak,16654,BOAB
2026-05-02T11:16:35.700000,2.907526591793648,peak,16687,BOAB
2026-05-02T11:17:04.700000,2.1338440634126665,peak,16716,BOAB
2026-05-02T11:18:24.700000,2.007485829512903,peak,16796,BOAB
2026-05-02T11:18:48.700000,2.238866459822592,peak,16820,BOAB
2026-05-02T11:20:17.700000,2.898039173904724,peak,16909,BOAB
2026-05-02T11:22:40.700000,2.0633567318283283,peak,17052,BOAB
2026-05-02T11:23:17.700000,3.290221841975571,peak,17089,BOAB
2026-05-02T11:23:46.700000,2.9477439471962503,peak,17118,BOAB
2026-05-02T11:24:15.700000,2.0005198850717907,peak,17147,BOAB
2026-05-02T11:26:33.700000,2.0564847980428347,peak,17285,BOAB
2026-05-02T11:27:45.700000,2.115292291332234,peak,17357,BOAB
2026-05-02T11:29:20.700000,2.341468147612192,peak,17452,BOAB
2026-05-02T11:30:23.700000,2.143412941393467,peak,17515,BOAB
2026-05-02T11:32:00.700000,2.049103463224143,peak,17612,BOAB
