bin,mean_z,p90_z,mean_z_smooth,tide_norm
-24.0,1.1572816273475335,1.732333541038064,0.964052140035533,0.4474970915869264
-23.5,0.7708226527235325,1.4318125443801186,0.775756946327697,0.8114651851509171
-23.0,0.775756946327697,1.429754463247633,0.7708226527235325,1.1296825640894925
-22.5,0.7630006563576998,1.4273725128713994,0.7630006563576998,1.3838912722786176
-22.0,0.7416127935690707,1.398124527299797,0.7518122967961953,1.559841589620333
-21.5,0.7518122967961953,1.4030272418792182,0.7416127935690707,1.6481889839443362
-21.0,0.7380779034208292,1.401934035352595,0.7518122967961953,1.6450749857878928
-20.5,0.770105322367573,1.4449034207435032,0.770105322367573,1.552354114091784
-20.0,0.8007232533127834,1.4949388866788111,0.770105322367573,1.3774520081513266
-19.5,0.7164749249826976,1.3756805063126947,0.7164749249826976,1.1328639483128815
-19.0,0.7117661220561409,1.369205591636788,0.7164749249826976,0.8353264046030323
-18.5,0.7291470031654145,1.4143642722953194,0.7144157581683189,0.5047156033634246
-18.0,0.7144157581683189,1.386560475149338,0.7169406727606199,0.1627449473015761
-17.5,0.7169406727606199,1.3885327146706907,0.7169406727606199,-0.1684537080246964
-17.0,0.7430855629916183,1.428588765694507,0.7430855629916183,-0.4677722958652498
-16.5,0.7450835135262874,1.4505918543981562,0.7430855629916183,-0.716498100919501
-16.0,0.7332593888841928,1.413516583511425,0.7332593888841928,-0.8995250345787578
-15.5,0.7215722881620824,1.405101642809658,0.7332593888841928,-1.006325470138921
-15.0,0.7579526360766501,1.4878226463787902,0.7579526360766501,-1.0316191298900432
-14.5,0.7640813123841801,1.4745690875183652,0.7579526360766501,-0.9756953304067155
-14.0,0.7488273918928964,1.444154092740607,0.7547031487444971,-0.8443675834083463
-13.5,0.7547031487444971,1.4711263096628737,0.7547031487444971,-0.6485636340594445
-13.0,0.7612449026648784,1.4730608178405014,0.7612449026648784,-0.403577920436812
-12.5,0.7729097986074719,1.5103166210404184,0.7612449026648784,-0.1280355912749306
-12.0,0.7398876301553935,1.4348207138658113,0.7603080378487223,0.15736382889833378
-11.5,0.7603080378487223,1.4867019720221621,0.7500866792540405,0.4312405321447948
-11.0,0.7500866792540405,1.4470543205908346,0.7603080378487223,0.6729745765356976
-10.5,0.7738343544117356,1.5092121655477306,0.7500866792540405,0.8640972889518204
-10.0,0.7351124051052119,1.4405119592333693,0.7558818570616795,0.9895422255604089
-9.5,0.7558818570616795,1.4607977158253012,0.7558818570616795,1.0386731154688797
-9.0,0.7605917869260422,1.500495238019819,0.7605917869260422,1.0060207554400502
-8.5,0.7747458303523127,1.5083657670170636,0.7747458303523127,0.8916798393133157
-8.0,0.7897261098314597,1.5532516703942798,0.7897261098314597,0.7013389531826802
-7.5,0.7995383537723502,1.5545731052492782,0.7995383537723502,0.44594099192752895
-7.0,0.8076572015760712,1.5953700619508504,0.8076572015760712,0.14099548224589764
-6.5,0.8190536130768397,1.6228260546925415,0.8076572015760712,-0.19441285490389762
-6.0,0.8042284795025985,1.5589214712775734,0.8190536130768397,-0.5388550010900564
-5.5,0.840030133460331,1.678799613517633,0.840030133460331,-0.8699479158970315
-5.0,0.854218690479591,1.6732392272187346,0.840030133460331,-1.1658135572460746
-4.5,0.8212907896529013,1.6126808509713757,0.849697791739059,-1.4065113800942803
-4.0,0.849697791739059,1.6963878850032224,0.849697791739059,-1.5753506428860242
-3.5,0.8563888647976473,1.686273868710074,0.8563888647976473,-1.6599965753185146
-3.0,0.857139689643721,1.6804871611565069,0.857139689643721,-1.6532978121446997
-2.5,0.8654571776332222,1.7264603621686707,0.8654571776332222,-1.5537806057960533
-2.0,0.8801868797184615,1.7477076784358079,0.8801868797184615,-1.3657770136381675
-1.5,0.8878003360800142,1.788147767238015,0.8878003360800142,-1.0991780971981735
-1.0,0.8989630066040248,1.8223804330650852,0.8989630066040248,-0.7688276124039355
-0.5,0.8994969679734003,1.7958344065812433,0.8994969679734003,-0.39359511361465666
0.0,1.1144973825297315,1.7560161196117663,1.0069971752515658,0.004811693283032504
