bin_center,f_active,mean_absz,n_stations,t_rel_h
2026-05-02 06:35:00+00:00,0.0,1.1531020680683004,5.0,-23.949444444444445
2026-05-02 06:45:00+00:00,0.0,0.6331983785298828,5.0,-23.782777777777778
2026-05-02 06:55:00+00:00,0.0,0.6357006898219495,5.0,-23.61611111111111
2026-05-02 07:05:00+00:00,0.0,0.8786968525922199,5.0,-23.449444444444445
2026-05-02 07:15:00+00:00,0.0,0.6820948105220205,5.0,-23.282777777777778
2026-05-02 07:25:00+00:00,0.0,0.6922495281826753,5.0,-23.11611111111111
2026-05-02 07:35:00+00:00,0.0,0.6335741852302842,5.0,-22.949444444444445
2026-05-02 07:45:00+00:00,0.0,0.6271920707916648,5.0,-22.782777777777778
2026-05-02 07:55:00+00:00,0.0,0.6430746134466564,5.0,-22.61611111111111
2026-05-02 08:05:00+00:00,0.0,0.6612071821209026,5.0,-22.449444444444445
2026-05-02 08:15:00+00:00,0.0,0.6329743418502457,5.0,-22.282777777777778
2026-05-02 08:25:00+00:00,0.0,0.6364814677041195,5.0,-22.11611111111111
2026-05-02 08:35:00+00:00,0.0,0.648811355467348,5.0,-21.949444444444445
2026-05-02 08:45:00+00:00,0.0,0.661995221747031,5.0,-21.782777777777778
2026-05-02 08:55:00+00:00,0.0,0.6276251908022297,5.0,-21.61611111111111
2026-05-02 09:05:00+00:00,0.0,0.6381137729841099,5.0,-21.449444444444445
2026-05-02 09:15:00+00:00,0.0,0.61557203986636,5.0,-21.282777777777778
2026-05-02 09:25:00+00:00,0.0,0.6384604815441078,5.0,-21.11611111111111
2026-05-02 09:35:00+00:00,0.0,0.6185796351197524,5.0,-20.949444444444445
2026-05-02 09:45:00+00:00,0.0,0.6444319286295982,5.0,-20.782777777777778
2026-05-02 09:55:00+00:00,0.0,0.615771699390198,5.0,-20.61611111111111
2026-05-02 10:05:00+00:00,0.0,0.6397035370062644,5.0,-20.449444444444445
2026-05-02 10:15:00+00:00,0.0,0.6461002795116013,5.0,-20.282777777777778
2026-05-02 10:25:00+00:00,0.0,0.635903741220847,5.0,-20.11611111111111
2026-05-02 10:35:00+00:00,0.0,0.6376363703330189,5.0,-19.949444444444445
2026-05-02 10:45:00+00:00,0.0,0.6562294898114058,5.0,-19.782777777777778
2026-05-02 10:55:00+00:00,0.0,0.6874980174033609,5.0,-19.61611111111111
2026-05-02 11:05:00+00:00,0.0,0.6874236835123269,5.0,-19.449444444444445
