time_center_iso,zscore,kind,idx_local,station_id
2026-05-02T06:44:08.719538,2.103658656513839,peak,586,CUC
2026-05-02T06:44:45.719538,2.181977906068482,peak,623,CUC
2026-05-02T06:44:54.719538,2.4125806167365904,peak,632,CUC
2026-05-02T06:45:07.719538,2.3070223943014785,peak,645,CUC
2026-05-02T06:45:21.719538,2.672938439504799,peak,659,CUC
2026-05-02T06:45:42.719538,2.0271482690033964,peak,680,CUC
2026-05-02T06:46:16.719538,2.2476408640475696,peak,714,CUC
2026-05-02T06:46:32.719538,2.3814792507477747,peak,730,CUC
2026-05-02T06:46:59.719538,2.469986373551086,peak,757,CUC
2026-05-02T06:47:20.719538,2.110934628052365,peak,778,CUC
2026-05-02T06:47:31.719538,3.106358678858397,peak,789,CUC
2026-05-02T06:47:49.719538,2.0702020958945484,peak,807,CUC
2026-05-02T06:48:11.719538,3.575037019899453,peak,829,CUC
2026-05-02T06:48:17.719538,3.93998070704813,peak,835,CUC
2026-05-02T06:48:26.719538,2.663070023537952,peak,844,CUC
2026-05-02T06:48:47.719538,2.180536742631139,peak,865,CUC
2026-05-02T06:48:52.719538,2.6002021063403684,peak,870,CUC
2026-05-02T06:49:14.719538,2.5531383350286463,peak,892,CUC
2026-05-02T06:49:25.719538,2.5514810968726773,peak,903,CUC
2026-05-02T06:49:32.719538,2.6714572030195005,peak,910,CUC
2026-05-02T06:49:42.719538,3.069397039960525,peak,920,CUC
2026-05-02T06:49:47.719538,2.108840189719008,peak,925,CUC
2026-05-02T06:49:52.719538,2.187973672985316,peak,930,CUC
2026-05-02T06:50:06.719538,2.225560432443856,peak,944,CUC
2026-05-02T06:50:13.719538,2.6873410716556947,peak,951,CUC
2026-05-02T06:50:30.719538,4.475772716234692,peak,968,CUC
2026-05-02T06:50:40.719538,2.0172593792215,peak,978,CUC
2026-05-02T06:50:51.719538,3.2095392641363465,peak,989,CUC
2026-05-02T06:51:17.719538,2.858354963960313,peak,1015,CUC
2026-05-02T06:51:26.719538,2.8040490713339934,peak,1024,CUC
2026-05-02T06:51:38.719538,2.94050506622212,peak,1036,CUC
2026-05-02T06:52:03.719538,2.023140766926328,peak,1061,CUC
