time_center_iso,zscore,kind,idx_local,station_id
2026-05-02T06:52:54.875000,2.4322737463489896,peak,798,CCIG
2026-05-02T06:54:18.875000,2.0456017620873466,peak,882,CCIG
2026-05-02T06:58:52.875000,2.1464578283859845,peak,1156,CCIG
2026-05-02T06:59:34.875000,2.155074712415188,peak,1198,CCIG
2026-05-02T07:02:17.875000,2.0017038543985843,peak,1361,CCIG
2026-05-02T07:03:32.875000,2.3360894421424376,peak,1436,CCIG
2026-05-02T07:13:07.875000,2.3005978608919952,peak,2011,CCIG
2026-05-02T07:14:24.875000,2.7035163032938314,peak,2088,CCIG
2026-05-02T07:19:16.875000,2.9738493915934323,peak,2380,CCIG
2026-05-02T07:33:30.875000,2.021211022118834,peak,3234,CCIG
2026-05-02T07:34:43.875000,2.0849307754029835,peak,3307,CCIG
2026-05-02T07:37:03.875000,2.7643776115153043,peak,3447,CCIG
2026-05-02T07:39:07.875000,2.0661384392399733,peak,3571,CCIG
2026-05-02T07:40:56.875000,2.286463441622011,peak,3680,CCIG
2026-05-02T07:41:42.875000,2.1613428978427693,peak,3726,CCIG
2026-05-02T07:42:41.875000,2.471719073179307,peak,3785,CCIG
2026-05-02T07:42:47.875000,2.208577367033203,peak,3791,CCIG
2026-05-02T07:45:19.875000,2.3910437115685306,peak,3943,CCIG
2026-05-02T07:47:38.875000,2.0544948044495963,peak,4082,CCIG
2026-05-02T07:51:59.875000,2.7978529501218143,peak,4343,CCIG
2026-05-02T07:52:34.875000,2.092660094501547,peak,4378,CCIG
2026-05-02T07:52:50.875000,2.3297283929804804,peak,4394,CCIG
2026-05-02T07:56:02.875000,2.146497856568299,peak,4586,CCIG
2026-05-02T08:04:05.875000,2.88164120210426,peak,5069,CCIG
2026-05-02T08:06:49.875000,2.9979357299717697,peak,5233,CCIG
2026-05-02T08:07:20.875000,2.0940622822083963,peak,5264,CCIG
2026-05-02T08:09:33.875000,2.14189533193508,peak,5397,CCIG
2026-05-02T08:11:21.875000,2.3789535553979246,peak,5505,CCIG
2026-05-02T08:11:57.875000,2.5834093091522408,peak,5541,CCIG
2026-05-02T08:17:06.875000,2.581325206077884,peak,5850,CCIG
2026-05-02T08:19:23.875000,2.4061862566331587,peak,5987,CCIG
2026-05-02T08:21:18.875000,2.430921807458118,peak,6102,CCIG
2026-05-02T08:21:56.875000,2.2040386138518024,peak,6140,CCIG
2026-05-02T08:23:18.875000,2.4802011568724542,peak,6222,CCIG
2026-05-02T08:23:32.875000,2.490431241647737,peak,6236,CCIG
2026-05-02T08:23:57.875000,2.1122917253457163,peak,6261,CCIG
2026-05-02T08:24:53.875000,2.0490697518156984,peak,6317,CCIG
2026-05-02T08:25:00.875000,2.201135468530432,peak,6324,CCIG
2026-05-02T08:27:15.875000,2.689673124711214,peak,6459,CCIG
2026-05-02T08:27:20.875000,5.246827525756298,peak,6464,CCIG
2026-05-02T08:32:39.875000,2.651394412907385,peak,6783,CCIG
2026-05-02T08:33:45.875000,2.1084950755020446,peak,6849,CCIG
2026-05-02T08:36:24.875000,2.4511423783049286,peak,7008,CCIG
2026-05-02T08:37:36.875000,2.1069526032761203,peak,7080,CCIG
2026-05-02T08:37:52.875000,2.0044474688180465,peak,7096,CCIG
2026-05-02T08:38:40.875000,2.53753887115773,peak,7144,CCIG
2026-05-02T08:40:49.875000,2.3663076343999814,peak,7273,CCIG
2026-05-02T08:41:20.875000,2.650745480881308,peak,7304,CCIG
2026-05-02T08:41:33.875000,2.806850150229222,peak,7317,CCIG
2026-05-02T08:41:42.875000,2.098754765915402,peak,7326,CCIG
2026-05-02T08:47:47.875000,2.077890878691904,peak,7691,CCIG
2026-05-02T08:48:52.875000,2.0658325091353493,peak,7756,CCIG
2026-05-02T08:50:13.875000,2.63131319261443,peak,7837,CCIG
2026-05-02T08:53:47.875000,2.1470000636139908,peak,8051,CCIG
2026-05-02T08:54:49.875000,2.216838639512696,peak,8113,CCIG
2026-05-02T08:57:00.875000,2.003600484425798,peak,8244,CCIG
2026-05-02T08:57:28.875000,2.2781943426718363,peak,8272,CCIG
2026-05-02T08:57:34.875000,2.478554248223656,peak,8278,CCIG
2026-05-02T08:58:16.875000,2.3861617992457926,peak,8320,CCIG
2026-05-02T09:04:31.875000,2.726899160105737,peak,8695,CCIG
2026-05-02T09:06:43.875000,2.199181552337612,peak,8827,CCIG
2026-05-02T09:07:05.875000,2.6711861575774924,peak,8849,CCIG
2026-05-02T09:07:10.875000,2.2854181537141005,peak,8854,CCIG
2026-05-02T09:07:55.875000,2.1466397155989227,peak,8899,CCIG
2026-05-02T09:08:30.875000,2.025983705790243,peak,8934,CCIG
