bin,mean_z,p90_z,mean_z_smooth,tide_norm
-24.0,1.0677042055597035,1.7628542771702864,0.9501428480857119,0.4474970915869264
-23.5,0.8325814906117203,1.6465805161827916,0.8325814906117203,0.8114651851509171
-23.0,0.8123940382667613,1.5903629119660907,0.8123940382667613,1.1296825640894925
-22.5,0.8093299602728128,1.6020791214277168,0.8093299602728128,1.3838912722786176
-22.0,0.8051186765044116,1.5809495079482507,0.8051186765044116,1.559841589620333
-21.5,0.7835106420015063,1.5263580406613988,0.8051186765044116,1.6481889839443362
-21.0,0.8293535013437846,1.6059703507248326,0.8293535013437846,1.6450749857878928
-20.5,0.8846617382675251,1.7777041552772948,0.8293535013437846,1.552354114091784
-20.0,0.8289988231203919,1.6306204576899312,0.8289988231203919,1.3774520081513266
-19.5,0.7687131738515309,1.4792921517706419,0.7687131738515309,1.1328639483128815
-19.0,0.7660069617846369,1.4789403982916363,0.7687131738515309,0.8353264046030323
-18.5,0.7811608446032888,1.501545930429723,0.7660069617846369,0.5047156033634246
-18.0,0.7542318893409344,1.4672678775525554,0.7702000759916989,0.1627449473015761
-17.5,0.7702000759916989,1.4769758213144388,0.7655652208249933,-0.1684537080246964
-17.0,0.7655652208249933,1.491319774237073,0.7655652208249933,-0.4677722958652498
-16.5,0.7637225454847725,1.460519702482604,0.7637225454847725,-0.716498100919501
-16.0,0.7527498904694927,1.4385839974205838,0.7547989628943658,-0.8995250345787578
-15.5,0.7547989628943658,1.4691900081992333,0.7527498904694927,-1.006325470138921
-15.0,0.7519139242873994,1.4522929721972393,0.7519139242873994,-1.0316191298900432
-14.5,0.7353875741112406,1.4207406267906366,0.7353875741112406,-0.9756953304067155
-14.0,0.7312659941649206,1.4208349691307747,0.7353875741112406,-0.8443675834083463
-13.5,0.7535051843334096,1.46165181430925,0.7312659941649206,-0.6485636340594445
-13.0,0.7294682514461237,1.4190353123981216,0.737811722112215,-0.403577920436812
-12.5,0.737811722112215,1.4474249401094217,0.7294682514461237,-0.1280355912749306
-12.0,0.7193926671488332,1.3978503265962,0.7330099980481953,0.15736382889833378
-11.5,0.7330099980481953,1.4313817129175517,0.7270260213894703,0.4312405321447948
-11.0,0.7270260213894703,1.3997093917931533,0.7270260213894703,0.6729745765356976
-10.5,0.7091524640170076,1.3753076703313747,0.7101894162740217,0.8640972889518204
-10.0,0.7101894162740217,1.4022808616903952,0.7101894162740217,0.9895422255604089
-9.5,0.733848599010087,1.4362442617486477,0.7242905365051387,1.0386731154688797
-9.0,0.7242905365051387,1.4247999433708938,0.7264786974714684,1.0060207554400502
-8.5,0.7264786974714684,1.4235371484669241,0.7264786974714684,0.8916798393133157
-8.0,0.7518029222036215,1.468944987495684,0.7518029222036215,0.7013389531826802
-7.5,0.7687122511132722,1.5042872694035967,0.7687122511132722,0.44594099192752895
-7.0,0.7708431934319693,1.499601898054352,0.7687122511132722,0.14099548224589764
-6.5,0.7611679614164518,1.48890865891293,0.7708431934319693,-0.19441285490389762
-6.0,0.7945446289769396,1.5257263687874412,0.7945446289769396,-0.5388550010900564
-5.5,0.7967533585407195,1.5383449279362162,0.7967533585407195,-0.8699479158970315
-5.0,0.8089951184230129,1.5670942848527754,0.8089951184230129,-1.1658135572460746
-4.5,0.8092537831679576,1.5676731417624297,0.8092537831679576,-1.4065113800942803
-4.0,0.8131664252029214,1.57138278744289,0.8131664252029214,-1.5753506428860242
-3.5,0.8546485834292618,1.6359565489357242,0.8518173722980602,-1.6599965753185146
-3.0,0.8518173722980602,1.637246241027401,0.8518173722980602,-1.6532978121446997
-2.5,0.791818122075717,1.5076008411144466,0.8149436986957217,-1.5537806057960533
-2.0,0.8149436986957217,1.5406062756804872,0.8149436986957217,-1.3657770136381675
-1.5,0.8224098432598955,1.5719257502884658,0.8195653509255042,-1.0991780971981735
-1.0,0.8195653509255042,1.5589131879893745,0.8224098432598955,-0.7688276124039355
-0.5,0.82657530177082,1.5711509528078018,0.82657530177082,-0.39359511361465666
0.0,1.1048731186489889,1.7819914071670855,0.9657242102099044,0.004811693283032504
