time_center_iso,tamc_rot
2026-05-02T06:39:36.875000,0.0482971563838582
2026-05-02T06:39:37.875000,0.05178934708124454
2026-05-02T06:39:38.875000,0.05243926076105252
2026-05-02T06:39:39.875000,0.0603452708525558
2026-05-02T06:39:40.875000,0.06367114971837659
2026-05-02T06:39:41.875000,0.04317688887255248
2026-05-02T06:39:42.875000,0.044753899428534104
2026-05-02T06:39:43.875000,0.04219269544997853
2026-05-02T06:39:44.875000,0.05736448916301218
2026-05-02T06:39:45.875000,0.06497822615896012
2026-05-02T06:39:46.875000,0.09137171075223892
2026-05-02T06:39:47.875000,0.04176196053018823
2026-05-02T06:39:48.875000,0.023230171519407473
2026-05-02T06:39:49.875000,0.06542547088109381
2026-05-02T06:39:50.875000,0.06049211783299856
2026-05-02T06:39:51.875000,0.014785884001386444
2026-05-02T06:39:52.875000,0.160374225570097
2026-05-02T06:39:53.875000,0.20003748179952568
2026-05-02T06:39:54.875000,0.2303580301840614
2026-05-02T06:39:55.875000,0.1552044314930432
2026-05-02T06:39:56.875000,0.26572581703224635
2026-05-02T06:39:57.875000,0.1271085834895509
2026-05-02T06:39:58.875000,0.4279024625735699
2026-05-02T06:39:59.875000,0.18155328745016416
2026-05-02T06:40:00.875000,0.2928648841841061
2026-05-02T06:40:01.875000,0.2952203260867632
2026-05-02T06:40:02.875000,0.45378280215318056
2026-05-02T06:40:03.875000,0.4495457617652902
2026-05-02T06:40:04.875000,0.17282597597923277
2026-05-02T06:40:05.875000,0.5613238637717729
2026-05-02T06:40:06.875000,0.6864001332172934
2026-05-02T06:40:07.875000,0.5052019792159881
2026-05-02T06:40:08.875000,0.7261131645786827
2026-05-02T06:40:09.875000,0.811800839846071
2026-05-02T06:40:10.875000,0.23391467594974358
2026-05-02T06:40:11.875000,1.2278183276073797
2026-05-02T06:40:12.875000,1.3283495713156401
2026-05-02T06:40:13.875000,0.9668777686417461
2026-05-02T06:40:14.875000,1.574376768334066
2026-05-02T06:40:15.875000,0.7992295629248026
2026-05-02T06:40:16.875000,0.7129134026219541
2026-05-02T06:40:17.875000,1.212880143403443
2026-05-02T06:40:18.875000,1.1967156538036843
2026-05-02T06:40:19.875000,1.1242027237301477
2026-05-02T06:40:20.875000,1.2641324236846156
2026-05-02T06:40:21.875000,0.3394089702800737
2026-05-02T06:40:22.875000,1.665726099535481
2026-05-02T06:40:23.875000,1.8590746962661737
2026-05-02T06:40:24.875000,1.0094128393860533
2026-05-02T06:40:25.875000,1.5757285874167435
2026-05-02T06:40:26.875000,1.3247952212663865
2026-05-02T06:40:27.875000,1.2569840877167482
2026-05-02T06:40:28.875000,3.0554960633023014
2026-05-02T06:40:29.875000,1.3120605119946775
2026-05-02T06:40:30.875000,2.2737092836545703
2026-05-02T06:40:31.875000,2.1605466965998854
2026-05-02T06:40:32.875000,0.6238734451012693
2026-05-02T06:40:33.875000,0.7822910574344698
2026-05-02T06:40:34.875000,2.6674979180497176
2026-05-02T06:40:35.875000,1.626232425346738
2026-05-02T06:40:36.875000,2.353327023372571
2026-05-02T06:40:37.875000,1.071253721987099
2026-05-02T06:40:38.875000,1.4814711365575497
2026-05-02T06:40:39.875000,3.0362177575447777
2026-05-02T06:40:40.875000,4.176827136755472
2026-05-02T06:40:41.875000,2.3120099553759
2026-05-02T06:40:42.875000,2.035425143071348
2026-05-02T06:40:43.875000,1.8320363142066745
2026-05-02T06:40:44.875000,2.8967992533126306
2026-05-02T06:40:45.875000,1.7035822380453765
2026-05-02T06:40:46.875000,1.1120575449930001
2026-05-02T06:40:47.875000,0.7423405568703465
2026-05-02T06:40:48.875000,5.824762454226058
2026-05-02T06:40:49.875000,4.498614022064946
2026-05-02T06:40:50.875000,6.118281196090351
2026-05-02T06:40:51.875000,7.07935200424743
2026-05-02T06:40:52.875000,5.29646259775743
2026-05-02T06:40:53.875000,5.6044218793057725
2026-05-02T06:40:54.875000,7.353528262227635
2026-05-02T06:40:55.875000,11.15531404194014
2026-05-02T06:40:56.875000,6.619844185434546
2026-05-02T06:40:57.875000,10.239116336590182
2026-05-02T06:40:58.875000,7.976365672997247
2026-05-02T06:40:59.875000,3.122803964256125
2026-05-02T06:41:00.875000,6.336396196487517
2026-05-02T06:41:01.875000,11.824821807424563
2026-05-02T06:41:02.875000,2.879864734964712
2026-05-02T06:41:03.875000,5.512042577753402
2026-05-02T06:41:04.875000,6.8442790976480055
2026-05-02T06:41:05.875000,7.951183408540586
2026-05-02T06:41:06.875000,5.05961721131502
2026-05-02T06:41:07.875000,11.60383617034459
2026-05-02T06:41:08.875000,3.113081355135861
2026-05-02T06:41:09.875000,2.5935522160331983
2026-05-02T06:41:10.875000,6.029382792457578
2026-05-02T06:41:11.875000,10.213634676086713
2026-05-02T06:41:12.875000,2.4166753461964254
2026-05-02T06:41:13.875000,9.27942608163531
2026-05-02T06:41:14.875000,4.517997993289383
2026-05-02T06:41:15.875000,2.948995662167532
2026-05-02T06:41:16.875000,1.7944478696260269
2026-05-02T06:41:17.875000,3.4509193298163425
2026-05-02T06:41:18.875000,4.956389409402944
2026-05-02T06:41:19.875000,5.712215287775491
2026-05-02T06:41:20.875000,2.4425492737533325
2026-05-02T06:41:21.875000,4.416587098604832
2026-05-02T06:41:22.875000,3.7634116554010104
2026-05-02T06:41:23.875000,4.267548161302651
2026-05-02T06:41:24.875000,4.078507083169106
2026-05-02T06:41:25.875000,5.0682444037739
2026-05-02T06:41:26.875000,2.041924575029262
2026-05-02T06:41:27.875000,8.272017607497814
2026-05-02T06:41:28.875000,8.310744750549574
2026-05-02T06:41:29.875000,7.694368349459238
2026-05-02T06:41:30.875000,15.168418434177237
2026-05-02T06:41:31.875000,4.527254483242062
2026-05-02T06:41:32.875000,8.689404712546096
2026-05-02T06:41:33.875000,12.301701896976574
2026-05-02T06:41:34.875000,4.8955906020483395
2026-05-02T06:41:35.875000,13.590363821565665
2026-05-02T06:41:36.875000,7.038229629567154
2026-05-02T06:41:37.875000,1.9709245596059077
2026-05-02T06:41:38.875000,9.464211028017496
2026-05-02T06:41:39.875000,8.95668767290216
2026-05-02T06:41:40.875000,2.7711712122809358
2026-05-02T06:41:41.875000,11.02311527938345
2026-05-02T06:41:42.875000,9.305391331276546
2026-05-02T06:41:43.875000,9.052552353272166
2026-05-02T06:41:44.875000,1.195709144183622
2026-05-02T06:41:45.875000,6.851070222813415
2026-05-02T06:41:46.875000,7.01898603286644
2026-05-02T06:41:47.875000,4.771055803341883
2026-05-02T06:41:48.875000,10.003047558629596
2026-05-02T06:41:49.875000,7.372943734952198
2026-05-02T06:41:50.875000,4.982823247990861
2026-05-02T06:41:51.875000,14.239491256232109
2026-05-02T06:41:52.875000,6.781274834406443
2026-05-02T06:41:53.875000,5.648855087678212
2026-05-02T06:41:54.875000,17.82801619696579
2026-05-02T06:41:55.875000,8.392873398029817
2026-05-02T06:41:56.875000,14.242229712554794
2026-05-02T06:41:57.875000,16.896969958278188
2026-05-02T06:41:58.875000,4.616150320880988
2026-05-02T06:41:59.875000,19.060441341802083
2026-05-02T06:42:00.875000,16.38413253304401
2026-05-02T06:42:01.875000,9.5219969752352
2026-05-02T06:42:02.875000,17.994859977508835
2026-05-02T06:42:03.875000,7.18280543198754
2026-05-02T06:42:04.875000,9.50777933333033
2026-05-02T06:42:05.875000,22.599437658014693
2026-05-02T06:42:06.875000,14.593503100822534
2026-05-02T06:42:07.875000,9.956955739055715
2026-05-02T06:42:08.875000,16.22101254171948
2026-05-02T06:42:09.875000,9.639623573164172
2026-05-02T06:42:10.875000,5.492018136563407
2026-05-02T06:42:11.875000,17.595826489774687
2026-05-02T06:42:12.875000,10.589240654394526
2026-05-02T06:42:13.875000,16.856022230259903
2026-05-02T06:42:14.875000,15.07462093914995
2026-05-02T06:42:15.875000,15.551786615866018
2026-05-02T06:42:16.875000,11.329580517065645
2026-05-02T06:42:17.875000,3.8619268162162173
2026-05-02T06:42:18.875000,10.355112950026856
2026-05-02T06:42:19.875000,10.21628993311414
2026-05-02T06:42:20.875000,24.376838601527425
2026-05-02T06:42:21.875000,24.01110459991937
2026-05-02T06:42:22.875000,12.75914218387476
2026-05-02T06:42:23.875000,23.872348195274043
2026-05-02T06:42:24.875000,26.601909105217313
2026-05-02T06:42:25.875000,16.558591223809053
2026-05-02T06:42:26.875000,29.78643654185172
2026-05-02T06:42:27.875000,39.62968154618115
2026-05-02T06:42:28.875000,9.43361630581578
2026-05-02T06:42:29.875000,31.311411870268774
2026-05-02T06:42:30.875000,43.7606794288236
2026-05-02T06:42:31.875000,6.99154921669031
2026-05-02T06:42:32.875000,36.486195044201914
2026-05-02T06:42:33.875000,45.95874716338402
2026-05-02T06:42:34.875000,19.457878342327042
2026-05-02T06:42:35.875000,32.3099209175747
2026-05-02T06:42:36.875000,49.90607715634513
2026-05-02T06:42:37.875000,24.494094949946238
2026-05-02T06:42:38.875000,37.19632878455956
2026-05-02T06:42:39.875000,37.47809562207367
2026-05-02T06:42:40.875000,12.013407114957285
2026-05-02T06:42:41.875000,14.69649461121397
2026-05-02T06:42:42.875000,38.56161858360954
2026-05-02T06:42:43.875000,23.04322241815203
2026-05-02T06:42:44.875000,29.271600090428873
2026-05-02T06:42:45.875000,19.09781950152768
2026-05-02T06:42:46.875000,6.721638160624204
2026-05-02T06:42:47.875000,6.430692374931048
2026-05-02T06:42:48.875000,25.202153265695525
2026-05-02T06:42:49.875000,20.9985327924528
2026-05-02T06:42:50.875000,12.10832460655572
2026-05-02T06:42:51.875000,14.626803325716875
2026-05-02T06:42:52.875000,24.822411445583178
2026-05-02T06:42:53.875000,32.46760692723591
2026-05-02T06:42:54.875000,29.863955020961207
2026-05-02T06:42:55.875000,36.23651741195708
2026-05-02T06:42:56.875000,22.40505034709631
2026-05-02T06:42:57.875000,28.618182375451497
2026-05-02T06:42:58.875000,55.08967865916984
2026-05-02T06:42:59.875000,26.607027662060805
2026-05-02T06:43:00.875000,38.94109917347777
2026-05-02T06:43:01.875000,64.60636243438516
2026-05-02T06:43:02.875000,13.975520427420976
2026-05-02T06:43:03.875000,58.61151967114535
2026-05-02T06:43:04.875000,59.6133953785876
2026-05-02T06:43:05.875000,11.358197345084843
2026-05-02T06:43:06.875000,77.91226937229106
2026-05-02T06:43:07.875000,26.49445097703444
2026-05-02T06:43:08.875000,32.399533010710684
2026-05-02T06:43:09.875000,37.8914933792593
2026-05-02T06:43:10.875000,38.8911205848931
2026-05-02T06:43:11.875000,23.78377885145179
2026-05-02T06:43:12.875000,55.936134778217536
2026-05-02T06:43:13.875000,35.83562435204597
2026-05-02T06:43:14.875000,8.275320226426535
2026-05-02T06:43:15.875000,18.143722436355812
2026-05-02T06:43:16.875000,49.35463152575899
2026-05-02T06:43:17.875000,59.35926578924963
2026-05-02T06:43:18.875000,15.731063191503928
2026-05-02T06:43:19.875000,35.48079982449939
2026-05-02T06:43:20.875000,46.48012699964868
2026-05-02T06:43:21.875000,38.02661087206392
2026-05-02T06:43:22.875000,37.04356642609054
2026-05-02T06:43:23.875000,49.16084804769846
2026-05-02T06:43:24.875000,31.28391140985805
2026-05-02T06:43:25.875000,20.386139246375684
2026-05-02T06:43:26.875000,33.723692901814516
2026-05-02T06:43:27.875000,63.2586961075043
2026-05-02T06:43:28.875000,5.174670318835529
2026-05-02T06:43:29.875000,46.56170485459817
2026-05-02T06:43:30.875000,17.138611067894463
2026-05-02T06:43:31.875000,43.20731232981485
2026-05-02T06:43:32.875000,6.785429465167147
2026-05-02T06:43:33.875000,21.454597501362176
2026-05-02T06:43:34.875000,29.766942556795364
2026-05-02T06:43:35.875000,12.86187999009473
2026-05-02T06:43:36.875000,17.46569785946707
2026-05-02T06:43:37.875000,18.58780725699563
2026-05-02T06:43:38.875000,4.709605318584712
2026-05-02T06:43:39.875000,12.53090250909108
2026-05-02T06:43:40.875000,19.382430454345965
2026-05-02T06:43:41.875000,36.44044804567346
2026-05-02T06:43:42.875000,28.84200320897259
2026-05-02T06:43:43.875000,51.460142887537046
2026-05-02T06:43:44.875000,18.34075260329486
2026-05-02T06:43:45.875000,41.40627006587425
2026-05-02T06:43:46.875000,16.10812132300513
2026-05-02T06:43:47.875000,43.646040319580344
2026-05-02T06:43:48.875000,54.17106468834497
2026-05-02T06:43:49.875000,47.209647120875296
2026-05-02T06:43:50.875000,65.73267774725957
2026-05-02T06:43:51.875000,32.9535550480764
2026-05-02T06:43:52.875000,28.215801274995037
2026-05-02T06:43:53.875000,11.231609617255137
2026-05-02T06:43:54.875000,20.555071099314265
2026-05-02T06:43:55.875000,7.398553521171104
2026-05-02T06:43:56.875000,42.82266546195839
2026-05-02T06:43:57.875000,44.404505231855815
2026-05-02T06:43:58.875000,38.536262173567636
2026-05-02T06:43:59.875000,51.84868672775625
2026-05-02T06:44:00.875000,14.68893111506465
2026-05-02T06:44:01.875000,27.042204615184826
2026-05-02T06:44:02.875000,39.72884427350033
2026-05-02T06:44:03.875000,70.2741777925439
2026-05-02T06:44:04.875000,68.5520965790307
2026-05-02T06:44:05.875000,51.36872737247324
2026-05-02T06:44:06.875000,48.66146362332294
2026-05-02T06:44:07.875000,20.69316912147048
2026-05-02T06:44:08.875000,33.46565932251794
2026-05-02T06:44:09.875000,6.973269106745279
2026-05-02T06:44:10.875000,24.003138428559996
2026-05-02T06:44:11.875000,33.27899726555952
2026-05-02T06:44:12.875000,36.95961407923532
2026-05-02T06:44:13.875000,52.94848810187239
2026-05-02T06:44:14.875000,69.2206793611676
2026-05-02T06:44:15.875000,23.96476343937341
2026-05-02T06:44:16.875000,56.54530108054816
2026-05-02T06:44:17.875000,66.22619649999633
2026-05-02T06:44:18.875000,6.7916977505670175
2026-05-02T06:44:19.875000,37.0117101909098
2026-05-02T06:44:20.875000,67.85802187031874
2026-05-02T06:44:21.875000,12.564796175056289
2026-05-02T06:44:22.875000,70.87680037366087
2026-05-02T06:44:23.875000,62.175492396577155
2026-05-02T06:44:24.875000,70.8458704424771
2026-05-02T06:44:25.875000,75.75377562016779
2026-05-02T06:44:26.875000,105.85595691976391
2026-05-02T06:44:27.875000,12.943727503591763
2026-05-02T06:44:28.875000,77.35305004383493
2026-05-02T06:44:29.875000,88.9856169882475
2026-05-02T06:44:30.875000,24.465746452785222
2026-05-02T06:44:31.875000,110.78663750301583
2026-05-02T06:44:32.875000,78.91132660130638
2026-05-02T06:44:33.875000,48.31059583444948
2026-05-02T06:44:34.875000,61.23684889727461
2026-05-02T06:44:35.875000,37.08966373737198
2026-05-02T06:44:36.875000,52.89627144364479
2026-05-02T06:44:37.875000,57.8612105575385
2026-05-02T06:44:38.875000,48.334689066290984
2026-05-02T06:44:39.875000,42.069893273513856
2026-05-02T06:44:40.875000,15.65915364506076
2026-05-02T06:44:41.875000,29.599261557852916
2026-05-02T06:44:42.875000,55.6982518374824
2026-05-02T06:44:43.875000,33.73798100166694
2026-05-02T06:44:44.875000,65.17169316574396
2026-05-02T06:44:45.875000,65.23687653179542
2026-05-02T06:44:46.875000,66.26172348657369
2026-05-02T06:44:47.875000,86.54981635069372
2026-05-02T06:44:48.875000,58.963463751712645
2026-05-02T06:44:49.875000,86.37310191974504
2026-05-02T06:44:50.875000,30.40249163244648
2026-05-02T06:44:51.875000,112.27721190412164
2026-05-02T06:44:52.875000,67.85953739757
2026-05-02T06:44:53.875000,88.60562078502117
2026-05-02T06:44:54.875000,63.85643615292506
2026-05-02T06:44:55.875000,50.23879607128437
2026-05-02T06:44:56.875000,52.2543159885496
2026-05-02T06:44:57.875000,60.887984151929466
2026-05-02T06:44:58.875000,74.0833387657737
2026-05-02T06:44:59.875000,67.20417036158412
