bin,mean_z,p90_z,mean_z_smooth,tide_norm
-24.0,0.8933804163168362,1.7827977181847323,0.7637805054439314,0.4474970915869264
-23.5,0.6341805945710266,1.4465217932151355,0.6341805945710266,0.8114651851509171
-23.0,0.6076813435585381,1.4012858237247094,0.6341805945710266,1.1296825640894925
-22.5,0.6432244191289721,1.4670681614021455,0.6229044949551614,1.3838912722786176
-22.0,0.6229044949551614,1.432076579654396,0.6253499259020047,1.559841589620333
-21.5,0.6253499259020047,1.427340143839443,0.6232845663262978,1.6481889839443362
-21.0,0.6232845663262978,1.4258431033586938,0.6232845663262978,1.6450749857878928
-20.5,0.617700581953582,1.4151989026657765,0.6232845663262978,1.552354114091784
-20.0,0.6248107177723279,1.427300790030936,0.6212300135154085,1.3774520081513266
-19.5,0.6212300135154085,1.4252638691155977,0.6212300135154085,1.1328639483128815
-19.0,0.610725500376018,1.3989194771691742,0.6197645746716933,0.8353264046030323
-18.5,0.6197645746716933,1.4190709164899886,0.6197645746716933,0.5047156033634246
-18.0,0.6307181425459558,1.4434705164268824,0.6307181425459558,0.1627449473015761
-17.5,0.6445988810481831,1.480377907961354,0.6445988810481831,-0.1684537080246964
-17.0,0.7107293519724753,1.4148869218030447,0.6445988810481831,-0.4677722958652498
-16.5,0.6110769609858787,1.396589498807508,0.6270685458555817,-0.716498100919501
-16.0,0.6270685458555817,1.4264334893608208,0.6198883908850944,-0.8995250345787578
-15.5,0.6198883908850944,1.4093305423516125,0.6218409488637356,-1.006325470138921
-15.0,0.6218409488637356,1.4194162170952334,0.6198883908850944,-1.0316191298900432
-14.5,0.6185750335046933,1.4250833021517044,0.6185750335046933,-0.9756953304067155
-14.0,0.6124588717777005,1.3901074971118192,0.6185750335046933,-0.8443675834083463
-13.5,0.6231284823595581,1.4038033700001664,0.6231284823595581,-0.6485636340594445
-13.0,0.624353541229169,1.433006764577735,0.624353541229169,-0.403577920436812
-12.5,0.6312313566405994,1.455717885014285,0.6312313566405994,-0.1280355912749306
-12.0,0.6530369887845945,1.4878543695861959,0.6312313566405994,0.15736382889833378
-11.5,0.6183982936970056,1.4172211279061122,0.6299383677729395,0.4312405321447948
-11.0,0.6299383677729395,1.4301029351530021,0.6299383677729395,0.6729745765356976
-10.5,0.6522581032037754,1.502709607649509,0.6403061661792125,0.8640972889518204
-10.0,0.6403061661792125,1.4617917742655488,0.6509733249399697,0.9895422255604089
-9.5,0.6509733249399697,1.4756840133157703,0.6509733249399697,1.0386731154688797
-9.0,0.6670290733752585,1.510424691080881,0.6509733249399697,1.0060207554400502
-8.5,0.6454403504643489,1.469913688462781,0.6454403504643489,0.8916798393133157
-8.0,0.6393251079337309,1.4595794883222801,0.6393251079337309,0.7013389531826802
-7.5,0.6258302970216355,1.4404046330500837,0.6393251079337309,0.44594099192752895
-7.0,0.6408332346983878,1.4679330181006391,0.6408332346983878,0.14099548224589764
-6.5,0.6533917494933512,1.488739302593298,0.6473388342880503,-0.19441285490389762
-6.0,0.6473388342880503,1.4981655265649265,0.6533917494933512,-0.5388550010900564
-5.5,0.6721543167820934,1.5153305634221665,0.6709774117335422,-0.8699479158970315
-5.0,0.6709774117335422,1.5128855436508877,0.6709774117335422,-1.1658135572460746
-4.5,0.6616968685829858,1.4941181290132846,0.6616968685829858,-1.4065113800942803
-4.0,0.6395754190203502,1.4612903707589655,0.6470907031189576,-1.5753506428860242
-3.5,0.6470907031189576,1.4760121472994563,0.6470907031189576,-1.6599965753185146
-3.0,0.6626498639222821,1.5121711371848852,0.6470907031189576,-1.6532978121446997
-2.5,0.6430467129460582,1.4659681928997363,0.6626498639222821,-1.5537806057960533
-2.0,0.6686891820965475,1.5106645430760957,0.6430467129460582,-1.3657770136381675
-1.5,0.6290758533012254,1.4384782745261047,0.6290758533012254,-1.0991780971981735
-1.0,0.6250370572661881,1.4491620968774785,0.6290758533012254,-0.7688276124039355
-0.5,0.6330761899524705,1.4357670930054474,0.6330761899524705,-0.39359511361465666
0.0,0.9074817742826439,1.7981234136387607,0.7702789821175572,0.004811693283032504
